time,open,high,low,close,Volume
1722463200,5574.75,5584,5572.75,5582,4381
1722464100,5582.25,5583.75,5579.5,5581.5,1603
1722465000,5581.5,5583.5,5576.75,5580.75,2394
1722465900,5580.5,5585,5580.25,5583,1882
1722466800,5583,5586.5,5581.75,5586,1976
1722467700,5586,5589.75,5585.5,5588.5,3324
1722468600,5588.5,5590,5588,5589,1356
1722469500,5589.5,5589.5,5586.75,5587.5,1905
1722470400,5587.75,5594.5,5586.25,5593.5,5028
1722471300,5593.25,5594.5,5590.5,5592.5,3391
1722472200,5592.25,5593,5584.5,5589.75,3559
1722473100,5589.75,5589.75,5581.25,5582.5,2674
1722474000,5582.5,5586.5,5578.75,5583.25,3572
1722474900,5583.5,5586,5581.75,5582,2557
1722475800,5582.25,5586,5582.25,5583.75,3686
1722476700,5583.75,5584.25,5580,5583.5,2594
1722477600,5583.5,5584,5580.75,5582.25,1944
1722478500,5582.25,5589,5581.25,5587.5,3117
1722479400,5587.75,5590.75,5585.75,5590.25,1918
1722480300,5590.25,5591.5,5588.5,5590.25,1758
1722481200,5590,5591.25,5588.25,5589.25,1835
1722482100,5589.5,5592.25,5589.25,5592,1457
1722483000,5592,5592.5,5589.25,5590.75,1651
1722483900,5590.75,5593.25,5589.75,5592.5,1473
1722484800,5592.25,5592.75,5590.75,5591.25,1076
1722485700,5591.5,5593.25,5591.25,5591.25,1354
1722486600,5591.5,5592,5588.75,5589.75,1263
1722487500,5589.5,5591,5589,5591,1006
1722488400,5591,5591.75,5587.75,5590.75,1625
1722489300,5590.75,5591.75,5589.75,5591.25,1108
1722490200,5591,5593.25,5590.25,5592.75,1348
1722491100,5592.5,5596.5,5591.75,5596.25,1949
1722492000,5596,5596.25,5579.5,5583,7680
1722492900,5583.25,5584.25,5580.75,5582.75,3151
1722493800,5582.75,5586.25,5582.75,5585.5,2940
1722494700,5585.5,5586,5575.75,5576.75,4897
1722495600,5577,5585.5,5576,5584,7090
1722496500,5583.75,5586.75,5580.5,5581.25,5374
1722497400,5581.25,5582.75,5577.5,5582.5,4991
1722498300,5582.5,5583.5,5572.75,5574.75,6128
1722499200,5574.75,5576,5558.75,5561.75,13144
1722500100,5561.5,5568.25,5559.75,5566.25,9809
1722501000,5566.25,5569.5,5558.5,5564,7022
1722501900,5564,5565.5,5560.25,5562.25,5390
1722502800,5562.5,5572.25,5560.75,5572,5861
1722503700,5572.25,5573.5,5566.75,5568.5,4723
1722504600,5568.25,5576,5567.75,5575.75,4220
1722505500,5575.5,5578.25,5574.5,5576.75,3633
1722506400,5576.5,5579.25,5575.5,5576.25,3615
1722507300,5576.25,5579.75,5576,5579.75,2270
1722508200,5579.75,5579.75,5574.5,5578,3877
1722509100,5578,5581,5577,5580.25,3309
1722510000,5580.25,5584.5,5578.25,5583,6386
1722510900,5583,5586,5581.5,5585.75,5931
1722511800,5585.75,5587,5583.5,5585.25,4052
1722512700,5585.5,5586.25,5576.25,5577,8480
1722513600,5577.25,5581.75,5575.25,5580.75,7935
1722514500,5580.75,5589.5,5580.75,5586.5,8114
1722515400,5586.75,5593.75,5582,5584.75,19075
1722516300,5584.75,5587.75,5583,5587,9271
1722517200,5587,5588.5,5579.5,5580,15107
1722518100,5580,5581.25,5572.75,5578,25480
1722519000,5578,5599.75,5576.25,5598.25,110092
1722519900,5598.25,5600.75,5586.75,5592.5,86887
1722520800,5592.25,5595.75,5571.75,5572.75,120092
1722521700,5572.75,5575,5549.75,5550.25,109391
1722522600,5550.5,5554.5,5536.25,5539,115042
1722523500,5538.75,5539.25,5524,5526.25,103957
1722524400,5526.25,5528.5,5511.75,5514.75,99416
1722525300,5514.75,5523.5,5511.25,5513,84122
1722526200,5512.75,5517.5,5497.25,5497.5,91443
1722527100,5497.5,5506.5,5493,5498.5,83877
1722528000,5498.75,5514,5496.25,5510,69887
1722528900,5510,5515.5,5495.25,5502,62336
1722529800,5502,5502,5483,5488.5,66199
1722530700,5488.25,5493.75,5482.5,5488.25,59674
1722531600,5488.5,5490.75,5477,5478.25,55304
1722532500,5478.25,5481,5469.5,5473.75,69220
1722533400,5474,5474.25,5456.75,5460.75,67540
1722534300,5460.75,5477,5455.25,5476.75,75523
1722535200,5476.75,5479.5,5458.5,5460.5,69807
1722536100,5460.5,5463.5,5448.75,5453.25,68757
1722537000,5453.25,5459,5448,5448.75,61310
1722537900,5448.5,5454.25,5444.75,5450.25,63165
1722538800,5450.25,5461.75,5447,5456.25,69847
1722539700,5456,5467.5,5451.75,5465.25,65618
1722540600,5465.5,5475.25,5462,5464.25,81562
1722541500,5464.5,5485.75,5464,5480.75,232083
1722542400,5480.75,5485.5,5457.25,5465,78989
1722543300,5465.25,5467,5450,5456.75,15883
1722544200,5456.5,5472.5,5451,5460,21212
1722545100,5460.25,5472.25,5459.75,5471.25,11466
1722549600,5464.25,5473.25,5460,5462.5,7458
1722550500,5462.75,5467,5451,5466,5596
1722551400,5466.25,5468,5450.25,5453.5,4928
1722552300,5453.75,5455,5446,5452,3817
1722553200,5451.75,5460.5,5449.25,5458.25,3030
1722554100,5458.5,5466.5,5452.5,5465.5,2650
1722555000,5465.25,5468,5462.5,5465,2477
1722555900,5465,5466,5460.25,5461,1887
1722556800,5461,5464.5,5457.25,5458.25,4074
1722557700,5458,5459.5,5449.25,5454,5454
1722558600,5454,5459,5453.5,5455.25,2843
1722559500,5455,5457.75,5451,5457.5,2612
1722560400,5457.75,5458.75,5451,5456,2737
1722561300,5455.75,5456.25,5451.25,5453.5,2457
1722562200,5453.75,5461.75,5452.5,5461,3036
1722563100,5461,5461.75,5455.25,5456.25,2494
1722564000,5456.25,5457,5452.25,5453.25,2837
1722564900,5453.5,5453.5,5421,5433,22812
1722565800,5433,5437.25,5427,5434.25,8233
1722566700,5434.25,5438,5430,5435.75,4825
1722567600,5436,5439.5,5435.75,5437.25,3369
1722568500,5437,5441,5435.5,5439,2321
1722569400,5439.25,5444.25,5437.75,5438.25,3879
1722570300,5438,5443,5437.75,5442.5,2058
1722571200,5442.5,5443.75,5439,5440.75,2210
1722572100,5440.5,5443,5439.25,5441.25,1466
1722573000,5441.5,5442.75,5437.25,5438.25,2015
1722573900,5438.25,5439.25,5435.5,5438.75,2088
1722574800,5438.75,5441.75,5436,5441.25,2271
1722575700,5441.25,5445,5440,5443.25,2231
1722576600,5443,5444.25,5432.5,5433,3929
1722577500,5433.25,5437.75,5432.25,5436.5,3246
1722578400,5436.75,5439.5,5432,5434.5,6239
1722579300,5434.5,5437.5,5426.5,5427,9236
1722580200,5427.25,5431,5423.75,5429.5,7738
1722581100,5429.75,5432,5422.75,5423.25,5171
1722582000,5423.25,5428,5417.25,5417.75,11845
1722582900,5417.75,5426.25,5412.5,5425.5,13272
1722583800,5425.25,5433,5423,5431,11048
1722584700,5431,5432.25,5422.75,5431.25,8192
1722585600,5431.25,5433.25,5423.5,5423.75,10625
1722586500,5424,5428.75,5418.5,5428.25,7559
1722587400,5428,5430.5,5424.75,5428.25,5288
1722588300,5428.25,5432.25,5424.5,5431.5,3465
1722589200,5431.25,5432,5421.75,5422.75,4824
