time,open,high,low,close,Volume
873756000,933.75,941.25,932.75,934,11387
873842400,933.75,934.25,914.5,915.25,2523
873928800,916,917.5,900.5,908.5,928
874015200,908,926.25,904,924,208
874274400,933.5,939.75,929,931.5,11874
874360800,931.25,960,930.25,956,11093
874447200,956,962.5,951.5,956,11620
874533600,955.75,970.5,954.75,957.75,10005
874620000,957.75,963.25,953,960.5,12126
874879200,960.25,972,960.25,966.25,10198
874965600,965.25,967.25,956.5,962,14580
875052000,961.5,970.5,952,954.5,14114
875138400,953.75,957.5,945.5,946.5,12097
875224800,946.25,956.5,946.25,953.25,11152
875484000,953.25,964.5,950.25,961.75,15239
875570400,961,965.25,952.75,954.5,14015
875656800,955.5,966.5,954.5,963.5,9651
875743200,963.25,969.5,961,969,13792
875829600,969.25,985.5,961.75,975.5,9245
876088800,976.75,983.75,976.5,981.5,11896
876175200,981.5,992.25,977.5,989.5,16204
876261600,989.5,991.75,974.75,982.25,9407
876348000,982.25,983.25,969.25,978,6506
876434400,978.75,981,964,976.75,3914
876693600,976.75,981.75,974,976.25,11923
876780000,976.25,981.5,968.5,977.5,9715
876866400,975.75,976.75,968,973.5,12998
876952800,973.5,981.25,955.25,959.75,13573
877039200,959,960,935.5,948.75,11772
877298400,963.5,963.5,962.25,962.25,10576
877384800,964.25,980.5,964.25,979.5,10284
877471200,979,980.5,970.5,974.25,13567
877557600,973,974.25,947.5,955.5,14924
877644000,956,969,941.5,944,15394
877906800,942.5,944,874,874,17082
877993200,862,933,844,924.5,16552
878079600,924.5,942,916.25,924.5,13868
878166000,924.5,928.5,902,903,14353
878252400,902,926.25,889.75,924,11469
878511600,923.75,948,921.25,945.75,11354
878598000,946,946.75,936.25,945.75,11065
878684400,941.5,956,938.25,947,8873
878770800,946.5,947.5,937.25,942.25,13527
878857200,942.25,943,916.5,931.25,9940
879116400,930,940.5,922.75,926.25,6889
879202800,926,929.75,924.25,926.5,14190
879289200,926.5,929.5,905.5,908.25,13929
879375600,907,922.5,902.5,919.25,11389
879462000,920,932.5,920,932.5,9936
879721200,932,954.5,932,950,10836
879807600,950,954.5,940,942.5,11297
879894000,942.25,951.5,936.25,947.75,10550
879980400,948,965.5,947,963,9902
880066800,962.5,971,957.5,969.5,7759
880326000,968.5,969,947,949.75,10626
880412400,950,957.5,944.75,951.75,6905
880498800,952,959.75,948.75,955,2113
880671600,954.75,962.25,953.75,955,10503
880930800,955.5,979.5,955.5,979.5,10021
881017200,980,982,972,975,12160
881103600,974.75,981.25,969,977.5,12238
881190000,977.5,985.75,972.5,977,14021
881276400,976.25,989,963,986.5,8595
881535600,986.5,989.75,980.5,984.5,11308
881622000,984.75,986.25,974.5,979,11609
881708400,978.75,979.75,963.5,970.25,3858
881794800,969.75,970.25,951.25,954.5,1270
881881200,948.5,965,946.75,955.5,1084
882140400,966.75,978.5,960.5,974.25,9155
882226800,973.5,985.75,973.25,980.5,9590
882313200,980.25,988,974.5,975.5,12068
882399600,975.25,976.5,960.5,965,15892
882486000,964,964,957.5,957.5,9434
882745200,956.75,962.75,956.75,962.75,6200
882831600,962.75,965,944,945,3671
882918000,944.75,953.5,941.5,942.25,1907
883090800,944,949.5,943,946,1907
883350000,945.5,966.5,941.25,965.75,6556
883436400,966.5,980.5,965.5,979.25,5283
883522800,979.5,984,975.25,979,4654
883695600,979.25,984.75,972.5,984.75,12496
883954800,987,992.75,976.5,987,12950
884041200,987,987.75,970.5,971,13629
884127600,970.75,974.75,960.5,974,13767
884214000,973.75,977.25,960.5,961.25,18484
884300400,962,963,925.5,929.5,20954
884559600,929,948.25,914.5,945.5,12493
884646000,945.5,960,944.5,959.5,12534
884732400,960,966.25,953.75,963.25,11962
884818800,963.5,964,954.75,955,10032
884905200,955,972.75,952.5,968.5,10321
885250800,968.5,986,966.75,985.25,14658
885337200,984.5,985.25,967.5,975.5,15422
885423600,977.25,977.5,964.25,966.25,15769
885510000,966,972.5,955,964.5,12059
885769200,961,969.75,953.5,963.5,15501
885855600,963.25,979.75,960.75,973.75,13140
885942000,974,985,973,982,13732
886028400,982,999,979.75,987,14178
886114800,987.75,993.5,984,987.75,12241
886374000,988,1009,987.75,1004,11133
