time,open,high,low,close,Volume
1325588400,1274.75,1280,1270.75,1275.5,351866
1325602800,1275.25,1279.75,1270.25,1273.25,740393
1325617200,1273.25,1276.75,1270.5,1273.25,475519
1325631600,1273,1273.5,1271,1271.5,16572
1325646000,1271.5,1272,1268.25,1269.5,19583
1325660400,1269.5,1274.75,1267.75,1271,99467
1325674800,1271,1271.75,1266,1269.25,278707
1325689200,1269.25,1273,1262.75,1272.5,682796
1325703600,1272.25,1273.75,1270.25,1273,316299
1325718000,1273,1273,1271,1272,15965
1325732400,1272,1272.25,1269.5,1270.5,12697
1325746800,1270.5,1272.75,1261.25,1262,112358
1325761200,1262.25,1272.5,1260.25,1263,415206
1325775600,1263,1278,1259.75,1276.25,816434
1325790000,1276.25,1277.25,1272.5,1273,444533
1325804400,1272.25,1274.25,1270.25,1271.5,29606
1325818800,1271.5,1271.5,1266.75,1270.25,22920
1325833200,1270.25,1275,1270,1273.25,53555
1325847600,1273.25,1282.25,1268.25,1269.75,523017
1325862000,1269.75,1277.25,1268.5,1275.5,727631
1325876400,1275.75,1276.5,1271.75,1274.25,321389
1326063600,1274.75,1274.75,1267.25,1269.5,31349
1326078000,1269.5,1270.75,1267.75,1270.25,13589
1326092400,1270,1277.25,1270,1273.5,92794
1326106800,1273.5,1277.75,1271.75,1273.5,274140
1326121200,1273.5,1277.25,1269.5,1275.25,681631
1326135600,1275,1277.25,1274.5,1274.75,348563
1326150000,1275.5,1279.5,1275,1279,27897
1326164400,1279.25,1282.75,1278.75,1281.5,25324
1326178800,1281.75,1287.5,1279.75,1287,109327
1326193200,1287,1290.5,1286.25,1289,281227
1326207600,1288.75,1292,1285,1287,706164
1326222000,1287.25,1289.25,1284.25,1285,382038
1326236400,1284.5,1285.5,1281.75,1282,23426
1326250800,1282,1284.75,1281.75,1284,13266
1326265200,1284.25,1287.75,1283.75,1286,64389
1326279600,1285.75,1286.75,1279.25,1282,381990
1326294000,1281.75,1288,1280.75,1286,854655
1326308400,1286,1289.5,1284,1288.25,447999
1326322800,1288.25,1288.75,1285.75,1286.75,19240
1326337200,1286.75,1287.5,1286,1286.75,9069
1326351600,1286.75,1294.75,1285,1294.25,91015
1326366000,1294,1297.5,1286.5,1288.5,422367
1326380400,1288.25,1290,1280.75,1288.25,835019
1326394800,1288.25,1292.25,1286.75,1291.5,376729
1326409200,1291.5,1294.25,1291.25,1291.25,17011
1326423600,1291.25,1295,1291,1293.75,14831
1326438000,1294,1294.75,1289.25,1291,93815
1326452400,1290.75,1292,1277.75,1280.75,462029
1326466800,1280.75,1282.75,1272.75,1279.5,1054129
1326481200,1279.5,1289.75,1278.5,1289,465874
1326668400,1285.25,1287.75,1281.5,1282.25,32780
1326682800,1282.25,1283.75,1281.25,1282.5,9457
1326697200,1282.5,1288.25,1281.25,1285.5,66386
1326711600,1285.25,1288.5,1284.75,1288.25,38201
1326726000,1288.25,1292.25,1287,1291.5,28798
1326740400,1290.5,1290.5,1290.25,1290.25,434
1326754800,1290.5,1295.5,1288.25,1294.5,32637
1326769200,1294.5,1299.25,1294.25,1298.25,29301
1326783600,1298.25,1302.5,1297.25,1299.25,105796
1326798000,1299.25,1301,1295.25,1296,335392
1326812400,1296.25,1297,1292.5,1294,697063
1326826800,1294,1294.75,1286,1290.5,464421
1326841200,1290.25,1291.75,1289.5,1290.5,20251
1326855600,1290.5,1294,1289.75,1290.75,17931
1326870000,1290.75,1298,1286.75,1294,129514
1326884400,1294.25,1295,1286.5,1293.5,419641
1326898800,1293.75,1301.25,1293.5,1298.5,949157
1326913200,1298.5,1304.25,1298.25,1302.75,463230
1326927600,1303,1307.5,1301.25,1304.5,28751
1326942000,1304.5,1305,1301.75,1302,16086
1326956400,1301.75,1303.5,1299.25,1303,77816
1326970800,1303,1309.25,1302.5,1308,315086
1326985200,1308,1311.5,1303.5,1309.25,885586
1326999600,1309.5,1311,1306,1310.25,511883
1327014000,1309.75,1310.25,1308,1308.5,17385
1327028400,1308.5,1311.5,1307.5,1310.25,13892
1327042800,1310.25,1311.25,1305.25,1307.25,90259
1327057200,1307.25,1309.75,1306,1308.25,329360
1327071600,1308.5,1309.75,1304.75,1308,621435
1327086000,1308,1311.75,1305.75,1310.75,327003
1327273200,1307.5,1308,1305,1306,25806
1327287600,1305.75,1308,1305.75,1307,12389
1327302000,1307,1311.75,1305,1310.5,84522
1327316400,1310.5,1317,1309.5,1316.5,304524
1327330800,1316.25,1318.25,1305.25,1310.25,823863
1327345200,1310.25,1314,1308,1310,350104
1327359600,1310.5,1311.25,1306.25,1306.75,19198
1327374000,1306.5,1308.75,1305.25,1308.25,12938
1327388400,1308.25,1309,1303.5,1303.75,103743
1327402800,1303.75,1306,1301.5,1303.5,332297
1327417200,1303.5,1309.75,1302.75,1308.25,659524
1327431600,1308.25,1316.5,1308,1314.75,346086
1327446000,1315,1315.75,1313.75,1315,20266
1327460400,1315,1316.25,1313.75,1315.75,11110
1327474800,1316,1316.25,1306.25,1306.75,102336
1327489200,1306.5,1309,1303.25,1304,285744
1327503600,1304,1320.75,1303,1320.25,898098
1327518000,1320.25,1324.75,1314.5,1320.75,625068
