time,open,high,low,close,Volume
1641164400,4771,4777.5,4770.75,4775,13421
1641168000,4775,4784,4774.75,4783,11187
1641171600,4783,4785,4776.5,4778,12695
1641175200,4777.75,4780,4775.5,4779.5,5872
1641178800,4779.5,4780.25,4776,4778.25,3503
1641182400,4778.25,4778.5,4776.75,4778.25,1943
1641186000,4778.5,4779.75,4777.25,4778.75,1915
1641189600,4778.75,4779.5,4772.75,4776.5,7915
1641193200,4776.75,4777.75,4771.25,4776.75,6322
1641196800,4776.75,4780,4775.25,4776,17763
1641200400,4776,4782.75,4773.75,4782.25,10038
1641204000,4782.5,4787.75,4781,4787.5,6951
1641207600,4787.5,4791.25,4787.25,4790.5,8281
1641211200,4790.5,4790.5,4783.75,4784.25,11381
1641214800,4784.5,4785.25,4775,4775.5,26101
1641218400,4775.5,4786.5,4747.5,4758.5,268159
1641222000,4758.75,4777.25,4757,4770.5,224688
1641225600,4770.5,4771.75,4753.5,4762.5,144984
1641229200,4762.5,4769,4759.25,4764.75,71100
1641232800,4764.75,4776.5,4762,4776.25,89386
1641236400,4776.25,4785.75,4774.75,4781.25,91786
1641240000,4781,4787.25,4775.25,4786.5,194680
1641243600,4786.5,4787.75,4784,4784.5,44505
1641250800,4785.25,4786.75,4782,4782.75,6197
1641254400,4783,4785.75,4781,4784.25,6519
1641258000,4784.25,4786.75,4782.25,4784.5,7499
1641261600,4784.25,4789.25,4783.75,4788.75,4025
1641265200,4789,4790.75,4786.75,4790,4254
1641268800,4790,4795,4789.5,4794.25,4542
1641272400,4794.5,4798,4794.25,4797.25,5279
1641276000,4797.25,4798.5,4795.25,4796.25,4823
1641279600,4796.25,4797.5,4793,4797.5,6502
1641283200,4797.5,4797.5,4792.5,4793.5,17052
1641286800,4793.5,4796.5,4793,4796.5,8305
1641290400,4796.5,4805.25,4796.5,4803.75,16848
1641294000,4803.75,4807.5,4802.25,4803.25,13069
1641297600,4803,4803.75,4795,4799.25,24287
1641301200,4799.25,4805,4798,4802.75,29416
1641304800,4802.5,4808.25,4799,4805.25,164452
1641308400,4805,4806.25,4783.75,4785,253929
1641312000,4785,4788.5,4773,4783.25,200467
1641315600,4783.25,4788.25,4775.5,4776.75,82402
1641319200,4776.5,4781.75,4764.5,4765.75,111182
1641322800,4765.75,4784,4765.25,4782.5,106915
1641326400,4782.5,4798.25,4782,4783.75,228202
1641330000,4783.5,4785.25,4781,4783.75,41901
1641337200,4783.5,4784.5,4777,4778.25,7601
1641340800,4778.25,4779.25,4774.25,4776.75,8143
1641344400,4777,4781.25,4769.5,4772.25,11431
1641348000,4772.25,4775.25,4771.25,4773.75,7446
1641351600,4773.75,4774.75,4771.25,4773.75,4258
1641355200,4773.75,4774.25,4771.25,4773,2965
1641358800,4772.75,4773.5,4767,4768.25,6055
1641362400,4768.5,4776,4766.5,4774.25,5365
1641366000,4774.5,4780.5,4773,4778.5,6828
1641369600,4778.5,4782,4775.75,4778,12656
1641373200,4778,4786,4777,4783.75,10600
1641376800,4784,4787.75,4781.25,4781.75,12712
1641380400,4782,4782.25,4778.25,4781,15036
1641384000,4781,4783.75,4777,4779.25,16241
1641387600,4779.25,4784,4775,4782.5,31618
1641391200,4782.5,4785.25,4770,4780.75,183141
1641394800,4780.5,4788.25,4776,4781.25,164660
1641398400,4781.25,4782.5,4771.5,4773.75,106402
1641402000,4774,4781,4767,4768,103741
1641405600,4767.75,4769.5,4761.25,4766.5,107891
1641409200,4766.75,4777.5,4719.25,4725,412149
1641412800,4725.25,4725.25,4691,4692.25,443200
1641416400,4692.25,4699.25,4689.5,4692,96875
1641423600,4692,4699,4681.75,4698.25,20886
1641427200,4698,4703,4691.75,4698.25,16468
1641430800,4698.25,4703,4689,4698.25,14978
1641434400,4698.25,4698.75,4688,4693.5,13549
1641438000,4693.5,4694.25,4673.5,4674,17602
1641441600,4674.25,4676,4668,4669.25,17752
1641445200,4669.25,4676.75,4668,4674.75,12526
1641448800,4674.75,4678,4668.5,4676.5,9718
1641452400,4676.25,4696.75,4675.25,4687.25,23225
1641456000,4687.5,4695.75,4679.25,4692,34829
1641459600,4692,4693.75,4683.75,4690,18229
1641463200,4690.25,4702.5,4688.5,4695.25,24433
1641466800,4695.5,4699.75,4688,4690.75,15518
1641470400,4690.5,4697.25,4686.75,4691,23534
1641474000,4690.75,4697.75,4689,4693,32774
1641477600,4692.75,4712,4675.75,4678.25,271239
1641481200,4678,4705,4662,4695,381277
1641484800,4695,4707.5,4688,4699.75,183893
1641488400,4700,4715.75,4694.25,4703,139826
1641492000,4703.25,4707.5,4691.75,4698.25,104555
1641495600,4698.25,4704.5,4690.25,4701.75,124837
1641499200,4701.5,4709.5,4678.75,4687,254498
1641502800,4687.25,4695,4686,4693.75,52204
1641510000,4695,4700,4695,4699.25,6935
1641513600,4699.25,4704.75,4698.25,4703.75,7703
1641517200,4703.75,4705.75,4699.75,4702.75,10054
